"athlete","athlete_season_id","sex","school","school_class_year","athlete_level","year","event_name","event_distance_m","time_s"
"721feb3e51fa0e73b1c712c09d6c202d","43e17def399a2943aa1397e62ff424ce","female","2175570fc100bd37d59949c7580a109f","hs_12","high_school",2017,"800m",800,139.1
"4335e613060bec390cae46edae71c16c","fd74c14665fc57786fcbc5c25121da0f","female","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2006,"1000m",1000,185.4
"18d3b7ba867f82f303be843a8b96f30d","ba74642ae7dba882d3295750b9e53860","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2008,"1000m",1000,160.8
"4b968e929b012c45160aec317dbf6e3f","c578ab9c10d92ed69f36b05edcb705f7","male","7ffcce5a304175e0668fe203a79dcfa6","college_fy","college",2005,"5000m",5000,984.3
"4d0761364e94f52eb9ff9d6ccb9b1f5f","f9f7616b787343ba37cb614b64b83a5f","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2015,"5000m",5000,943.4
"a6562cc2741df7256429e53665d17db2","805ae62c90455896da36091aae33a373","male","eec3f1b90af23b5958b5dde5ec99c188","hs_12","high_school",2016,"3200m",3200,594.2
"9407982980112ed4e58c319bcdcb4540","fb216e0e11d051c775d46556b3c1fb01","female","c5b8f3d94089ef757825a1a8da7d9ac1","hs_8","high_school",2008,"800m",800,146.5
"f7a6b23de4b288b8e12322baaf95dfdd","66905a0f491aaaa0a0de24db894a52a6","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2012,"mile",1609.344,345.3
"41f5fdd956ab02aef7a73dd7c783315e","dfd4ef9f67e0e652913403d2f2a3a55a","male","1be29407b6209d8cad9faef6a7476ac2","college_jr","college",2015,"5000m",5000,926.8
"7b7c86b14b0d2be8379b8236b184b152","1ba0f04271946f1043fa4a2e427dd1aa","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2017,"800m",800,148
"8f15f7cd0975d11aab90569eed54d79d","ae34eb4750efa59b0891563afbb1db39","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_fy","college",2014,"5000m",5000,1192
"8b1796823da34d1c8e6269dd8baf15e8","8f116979106f080bd267b4baeef68cbd","female","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2016,"mile",1609.344,313.7
"a9464954752673c2242e266652590621","041876c49592e1e8d80bd86e0e2ced7a","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2002,"1000m",1000,184.1
